Síterep,Link,Régió,Parkoló,Hegytető,Sípályák hossza,Szintkülönbség,Liftek száma,Szezon eleje,Szezon vége,Távolság Budapesttől,Felnőtt napijegy ára,Húzólift,Kombilift,Kék,Piros,Fekete,Ülőlift,Nagykabinos lift,Kiskabinos lift,Vonat
Patscherkofel,https://sielok.hu/siterep/patscherkofel/,Tirol,1009,1965,19.0,956,6,2022.12.17.,2023.04.02.,731.0,42.6,5,0,5.0,10.0,4.0,0,0,1,0
Pertisau - Karwendel,https://sielok.hu/siterep/pertisau-karwendel/,Tirol,960,1560,12.0,600,5,2022.12.17.,2023.03.31.,702.0,32.5,4,0,6.0,6.0,0.0,0,0,1,0
Petzen,https://sielok.hu/siterep/petzen/,Karintia,650,1900,13.7,1250,6,2022.12.17.,2023.03.19.,495.0,40.5,4,0,7.2,5.9,0.6,1,0,1,0
Piesendorf - Erlebnisberg Nagelköpfel,https://sielok.hu/siterep/piesendorf-erlebnisberg/,Salzburg,785,900,2.0,115,3,2022.12.24.,2023.03.05.,591.0,20.5,3,0,0.5,1.5,0.0,0,0,0,0
Pitztal gleccser,https://sielok.hu/siterep/pitztaler-gletscher/,Tirol,2685,3440,21.0,755,7,2022.10.01.,2023.05.07.,818.0,58.0,3,0,4.0,16.0,1.0,1,0,2,1
Planneralm,https://sielok.hu/siterep/planneralm/,Stájerország,1600,2000,15.0,400,6,2022.12.03.,2023.04.10.,479.0,48.0,4,0,2.0,11.0,2.0,2,0,0,0
Postalm,https://sielok.hu/siterep/postalm/,Salzburg,1150,1450,8.0,300,5,2022.12.16.,2023.03.19.,541.0,42.0,4,0,5.0,2.0,1.0,1,0,0,0
Präbichl,https://sielok.hu/siterep/prabichl/,Stájerország,1100,1608,20.0,508,6,2022.12.15.,2023.03.26.,388.0,45.5,3,0,6.0,11.0,3.0,3,0,0,0
Prägraten am Großvenediger,https://sielok.hu/siterep/praegraten-am-grossvenediger/,Tirol,1312,1440,2.0,128,2,2022.12.17.,2023.03.05.,696.0,28.0,2,0,1.0,0.5,0.5,0,0,0,0
Puchberg am Schneeberg - Wunderwiese,https://sielok.hu/siterep/puchberg/,Alsó-Ausztria,780,1210,7.8,430,3,2022.12.17.,2023.03.05.,294.0,31.0,2,0,3.8,4.0,0.0,1,0,0,0
Puchenstuben,https://sielok.hu/siterep/puchenstuben/,Alsó-Ausztria,870,1150,3.5,280,3,2022.12.17.,2023.03.12.,365.0,21.5,3,0,2.0,1.5,0.0,0,0,0,0
Radstadt - Altenmarkt,https://sielok.hu/siterep/radstadt/,Salzburg,850,1571,17.3,721,7,2022.12.22.,2023.03.26.,515.0,68.0,2,0,9.2,7.5,0.6,2,0,3,0
Raggal - Marul,https://sielok.hu/siterep/raggal-marul/,Vorarlberg,980,1300,5.0,320,3,,,873.0,23.0,3,0,3.0,2.0,0.0,0,0,0,0
Ramsau - Rittisberg,https://sielok.hu/siterep/ramsau/,Stájerország,1035,1636,12.9,601,8,2022.12.16.,2023.04.10.,501.0,45.5,7,1,5.6,6.3,1.0,0,0,0,0
Rangger Köpfl,https://sielok.hu/siterep/rangger-kopfl/,Tirol,820,2000,13.0,1180,6,2022.12.08.,2023.03.19.,741.0,36.0,4,0,7.0,4.0,2.0,0,0,2,0
Rauris - Hochalmbahnen,https://sielok.hu/siterep/rauris/,Salzburg,950,2175,32.5,1225,10,2022.12.16.,2023.04.10.,576.0,50.0,6,0,15.0,12.5,5.0,1,0,3,0
Rax - Raxalpe,https://sielok.hu/siterep/rax/,Alsó-Ausztria,528,1545,3.0,1017,2,,,302.0,,1,0,1.0,2.0,0.0,0,1,0,0
Riefensberg - Hochlitten,https://sielok.hu/siterep/riefensberg-hochlitten/,Vorarlberg,1000,1200,3.0,200,4,2022.12.17.,2023.03.19.,841.0,30.0,4,0,1.0,2.0,0.0,0,0,0,0
Riesneralm,https://sielok.hu/siterep/riesneralm/,Stájerország,973,1820,32.2,847,7,2022.12.02.,2023.04.10.,479.0,48.0,4,0,20.2,9.0,3.0,3,0,0,0
Rifflsee,https://sielok.hu/siterep/rifflsee/,Tirol,1640,2800,19.0,1160,6,2022.12.17.,2023.04.10.,816.0,40.0,2,0,4.0,10.0,5.0,3,0,1,0
Rohr im Gebirge - Furtnerlifte,https://sielok.hu/siterep/rohr-im-gebirge-furtnerlifte/,Alsó-Ausztria,800,927,3.9,127,3,,,316.0,24.0,3,0,1.5,1.5,0.9,0,0,0,0
Saalbach Hinterglemm Leogang Fieberbrunn,https://sielok.hu/siterep/saalbach/,Salzburg,830,2096,270.0,1266,70,2022.12.02.,2023.04.16.,635.0,66.0,20,0,140.0,112.0,18.0,21,0,29,0
Salzstiegl,https://sielok.hu/siterep/salzstiegl/,Stájerország,1320,1710,12.0,390,7,2022.12.17.,2023.03.19.,445.0,40.0,7,0,6.0,4.0,2.0,0,0,0,0
Sandl - Viehberg,https://sielok.hu/siterep/sandl-viehberg/,Felső-Ausztria,950,1112,3.0,162,2,,,414.0,21.0,2,0,3.0,0.0,0.0,0,0,0,0
Schattwald - Zöblen im Tannheimertal,https://sielok.hu/siterep/schattwald/,Tirol,1090,1565,10.3,475,4,2022.12.24.,2023.04.02.,823.0,45.0,2,0,4.5,3.7,2.1,2,0,0,0
Schetteregg,https://sielok.hu/siterep/schetteregg/,Vorarlberg,1070,1325,11.0,255,8,2022.12.25.,2023.03.19.,878.0,40.0,7,0,4.0,6.0,1.0,1,0,0,0
Schladming 4 hegy,https://sielok.hu/siterep/schladming/,Stájerország,728,2015,123.0,1287,47,2022.11.25.,2023.04.16.,494.0,68.0,15,1,46.4,68.3,8.3,20,1,9,1
Schlick 2000 - Fulpmes,https://sielok.hu/siterep/schlick/,Tirol,1009,2240,22.0,1231,9,2022.12.02.,2023.04.16.,740.0,46.0,4,0,12.0,6.8,3.2,3,0,2,0
Schmoll Lifte am Semmering,https://sielok.hu/siterep/schmoll/,Stájerország,840,1020,2.0,180,2,,,305.0,,2,0,1.2,0.5,0.3,0,0,0,0
Schneeberg - Hagerlifte,https://sielok.hu/siterep/schneeberg-hagerlifte/,Tirol,800,1000,3.0,200,3,2022.12.17.,2023.03.11.,660.0,25.0,3,0,0.8,2.1,0.1,0,0,0,0
Schwarzenberg - Bödele,https://sielok.hu/siterep/schwarzenberg-boedele/,Vorarlberg,700,1467,25.0,767,12,,,866.0,40.0,11,0,9.0,12.0,4.0,1,0,0,0
Schwaz - Kellerjoch,https://sielok.hu/siterep/kellerjoch-schwaz/,Tirol,1352,1887,14.0,535,3,2022.12.17.,2023.03.26.,710.0,38.0,2,0,9.5,2.4,2.1,1,0,0,0
Schöckel - Schöckl,https://sielok.hu/siterep/schockel/,Stájerország,780,1445,2.0,665,4,,,340.0,,3,0,1.5,0.5,0.0,0,0,1,0
Schöder,https://sielok.hu/siterep/schoder/,Stájerország,892,955,0.4,63,1,,,,,1,0,0.4,0.0,0.0,0,0,0,0
See,https://sielok.hu/siterep/see/,Tirol,1040,2570,42.5,1530,11,2022.12.16.,2023.04.15.,810.0,50.0,6,0,9.5,25.0,8.0,2,0,3,0
Seewiesen - Seeberg,https://sielok.hu/siterep/seewiesen/,Stájerország,1100,1410,6.0,310,3,,,359.0,,3,0,3.0,2.0,1.0,0,0,0,0
Semmering - Hirschenkogel,https://sielok.hu/siterep/semmering/,Alsó-Ausztria,985,1350,14.0,365,2,2022.12.17.,2023.03.26.,300.0,39.5,0,0,6.5,6.5,1.0,1,0,1,0
Semmering - Stuhleck,https://sielok.hu/siterep/stuhleck/,Stájerország,777,1774,26.0,997,11,2022.12.08.,2023.04.02.,305.0,55.0,7,0,20.0,6.0,0.0,4,0,0,0
Serfaus - Fiss - Ladis,https://sielok.hu/siterep/serfaus/,Tirol,1200,2828,186.0,1628,39,2022.12.08.,2023.04.16.,816.0,61.0,11,0,47.0,112.0,27.0,16,0,11,1
Silbertal - Kristberg,https://sielok.hu/siterep/silbertal-kristberg/,Vorarlberg,889,1589,7.1,700,4,2022.12.15.,2023.04.10.,872.0,,3,0,1.8,1.2,4.1,0,1,0,0
Sillian - Hochpustertal,https://sielok.hu/siterep/sillian/,Tirol,1100,2407,21.7,1307,7,2022.12.08.,2023.04.10.,684.0,55.0,2,0,5.6,15.0,1.1,3,0,2,0
Silvretta Montafon,https://sielok.hu/siterep/silvretta/,Vorarlberg,700,2430,117.0,1730,36,2022.11.25.,2023.04.16.,874.0,57.0,8,0,62.0,45.0,10.0,18,2,8,0
Simonhöhe - Sankt Urban,https://sielok.hu/siterep/simonhohe/,Karintia,1042,1340,12.0,298,7,2022.12.16.,2023.03.05.,537.0,35.0,7,0,7.0,5.0,0.0,0,0,0,0
Ski Arena Seefeld - Mösern - Gschwandtkopf,https://sielok.hu/siterep/seefeld-reith-gschwandtkopf/,Tirol,1200,1500,6.1,300,11,2022.12.16.,2023.04.08.,748.0,49.0,10,0,6.1,0.0,0.0,1,0,0,0
Ski Arena Seefeld - Rosshütte & Härmelekopf,https://sielok.hu/siterep/seefeld-rosshuette/,Tirol,1230,2064,19.1,834,13,2022.12.16.,2023.04.02.,747.0,53.0,7,0,11.2,6.0,1.9,3,2,0,1
Ski Arlberg - St. Anton - Lech - Zürs - Warth,https://sielok.hu/siterep/ski-arlberg/,Tirol,1300,2806,302.0,1506,89,2022.12.02.,2023.04.28.,832.0,67.0,29,1,130.0,122.0,50.0,43,5,11,0
"Ski Juwel - Alpbachtal, Wildschönau",https://sielok.hu/siterep/skijuwel/,Tirol,830,2025,96.7,1195,46,2022.12.08.,2023.04.16.,693.0,55.5,31,0,31.1,52.9,12.7,7,0,8,0
SkiWelt Wilder Kaiser - Brixental,https://sielok.hu/siterep/skiwelt/,Tirol,620,1869,244.0,1249,83,2022.12.02.,2023.04.10.,626.0,60.0,33,1,114.0,120.0,10.0,33,0,16,0
Sommeralm - Pirstingerkogellift,https://sielok.hu/siterep/sommeralm/,Stájerország,1320,1424,2.0,104,1,2022.12.16.,2023.03.19.,327.0,21.0,1,0,0.5,1.0,0.5,0,0,0,0
Sonnenkopf - Klostertal,https://sielok.hu/siterep/sonnenkopf/,Vorarlberg,1000,2300,29.5,1300,9,2022.12.23.,2023.04.16.,839.0,49.0,4,0,12.8,15.9,0.8,4,0,1,0
Sportgastein,https://sielok.hu/siterep/sportgastein/,Salzburg,1585,2650,18.2,1065,3,2022.12.08.,2023.04.16.,592.0,68.5,1,0,3.5,13.2,1.5,0,0,2,0
St. Corona / Simas-Lifte,https://sielok.hu/siterep/simas/,Alsó-Ausztria,941,1207,1.8,266,1,,,299.0,,1,0,0.0,1.8,0.0,0,0,0,0
St. Corona am Wechsel - Wexl Arena,https://sielok.hu/siterep/stcorona/,Alsó-Ausztria,840,1039,2.0,199,2,2022.12.17.,2023.03.12.,298.0,26.5,2,0,2.0,0.0,0.0,0,0,0,0
St. Georgen am Walde - Schorschi-Lifte,https://sielok.hu/siterep/st-georgen-am-walde-schorschi-lifte/,Felső-Ausztria,750,787,1.0,37,2,,,394.0,17.0,2,0,1.0,0.0,0.0,0,0,0,0
St. Jakob im Defereggental,https://sielok.hu/siterep/stjakob-defereggental/,Tirol,1400,2683,17.0,1283,7,2022.12.08.,2023.04.16.,695.0,55.0,3,0,4.7,11.1,1.2,3,0,1,0
St. Jakob im Walde,https://sielok.hu/siterep/stjakob/,Stájerország,1000,1200,4.0,200,4,2022.12.14.,2023.03.05.,306.0,28.0,4,0,1.0,3.0,0.0,0,0,0,0
St. Johann in Tirol,https://sielok.hu/siterep/st-johann-tirol/,Tirol,659,1604,40.0,945,10,2022.12.15.,2023.04.10.,613.0,53.0,3,0,16.0,21.0,3.0,3,0,4,0
St. Kathrein am Offenegg,https://sielok.hu/siterep/stkathrein-offenegg/,Stájerország,972,1100,1.0,128,1,,,352.0,,1,0,1.0,0.0,0.0,0,0,0,0
St. Martin am Tennengebirge,https://sielok.hu/siterep/stmartin-tennengebirge/,Salzburg,1000,1200,5.0,200,4,,,530.0,23.0,4,0,3.0,2.0,0.0,0,0,0,0
Stans,https://sielok.hu/siterep/stans/,Tirol,560,690,0.5,130,2,2022.12.24.,2023.03.05.,700.0,25.0,2,0,0.5,0.0,0.0,0,0,0,0
Stanzach,https://sielok.hu/siterep/stanzach/,Tirol,940,1049,0.5,109,3,,,776.0,27.5,3,0,0.5,0.0,0.0,0,0,0,0
Steinberg - Rofan,https://sielok.hu/siterep/steinberg-rofan/,Tirol,1050,1250,1.0,200,3,2022.12.31.,2023.03.12.,723.0,28.0,3,0,0.3,0.7,0.0,0,0,0,0
Sternstein,https://sielok.hu/siterep/sternstein/,Felső-Ausztria,814,1102,5.0,288,3,2022.12.14.,2023.03.26.,466.0,36.0,2,1,1.0,4.0,0.0,0,0,0,0
Stoderzinken,https://sielok.hu/siterep/stoderzinken/,Stájerország,1700,1975,8.0,275,4,,,487.0,,4,0,4.0,3.0,1.0,0,0,0,0
Strallegg,https://sielok.hu/siterep/strallegg/,Stájerország,800,1003,3.0,203,2,,,340.0,,2,0,2.0,1.0,0.0,0,0,0,0
Stubai gleccser,https://sielok.hu/siterep/stubai/,Tirol,1697,3212,64.9,1515,26,2022.09.30.,2023.05.21.,762.0,57.8,14,0,22.0,15.0,27.9,7,0,5,0
Sölden - Ötztal,https://sielok.hu/siterep/solden/,Tirol,1350,3340,143.4,1990,31,2022.09.23.,2023.05.07.,809.0,69.5,9,0,69.5,46.6,27.3,13,0,8,1
Tannheim - Neunerköpfle,https://sielok.hu/siterep/tannheim/,Tirol,1110,1820,8.5,710,5,2022.12.21.,2023.04.02.,780.0,45.0,3,0,2.5,5.0,1.0,1,0,1,0
Tauplitz,https://sielok.hu/siterep/tauplitz/,Stájerország,896,1965,43.5,1069,17,2022.12.02.,2023.04.10.,468.0,48.0,12,0,18.5,19.0,6.0,4,0,1,0
Teichalm,https://sielok.hu/siterep/teichalm/,Stájerország,1200,1450,4.0,250,5,2022.12.16.,2023.03.19.,367.0,28.0,5,0,1.0,2.0,1.0,0,0,0,0
Tirolina - Haltjochlift,https://sielok.hu/siterep/hinterthierseetirolina-haltjochlift/,Tirol,852,1077,4.0,225,2,2022.12.23.,2023.03.19.,663.0,25.0,2,0,2.0,1.2,0.8,0,0,0,0
Tonnerhütte - Zirbitzkogel,https://sielok.hu/siterep/tonnerhutte/,Stájerország,1640,1820,4.0,180,2,,,461.0,,2,0,3.0,1.0,0.0,0,0,0,0
Turnau - Schwabenbergarena,https://sielok.hu/siterep/turnau/,Stájerország,800,1250,10.0,450,4,2022.12.17.,2023.03.19.,351.0,37.0,4,0,1.0,6.0,3.0,0,0,0,0
Turracher Höhe,https://sielok.hu/siterep/turrach/,Karintia,1400,2205,43.0,805,15,2022.12.03.,2023.04.23.,498.0,54.5,9,1,14.5,25.0,3.5,5,0,0,0
Unken - Heutal,https://sielok.hu/siterep/unken-heutal/,Salzburg,970,1531,11.0,561,4,2022.12.25.,2023.03.19.,588.0,33.0,4,0,6.0,5.0,0.0,0,0,0,0
Unterberg,https://sielok.hu/siterep/unterberg/,Alsó-Ausztria,710,1342,16.0,632,4,2022.12.30.,2023.03.05.,313.0,35.0,4,0,11.0,5.0,0.0,0,0,0,0
Unterbergen - Bodental,https://sielok.hu/siterep/unterbergen-bodental/,Karintia,1030,1200,2.0,170,4,2022.12.17.,2023.03.12.,528.0,24.5,4,0,1.0,1.0,0.0,0,0,0,0
Venet - Landeck - Zams - Fliess,https://sielok.hu/siterep/venet/,Tirol,780,2212,22.0,1432,7,2022.12.23.,2023.03.26.,796.0,49.5,3,0,6.0,15.0,1.0,3,1,0,0
Vent,https://sielok.hu/siterep/vent/,Tirol,1900,2646,15.0,746,4,2022.12.18.,2023.04.15.,827.0,41.5,2,0,5.0,10.0,0.0,2,0,0,0
Wald am Schoberpass,https://sielok.hu/siterep/schoberpass/,Stájerország,850,1200,12.0,350,4,,,407.0,27.0,4,0,4.0,5.0,3.0,0,0,0,0
Waldzell - Kohleck,https://sielok.hu/siterep/waldzell/,Felső-Ausztria,660,750,0.8,90,1,,,504.0,,1,0,0.5,0.3,0.0,0,0,0,0
Weinebene,https://sielok.hu/siterep/weinebene/,Karintia,1580,1886,22.0,306,8,2022.12.07.,2023.03.26.,417.0,34.0,8,0,8.0,12.0,2.0,0,0,0,0
Weissensee,https://sielok.hu/siterep/weissensee/,Karintia,930,1324,6.0,394,5,2022.12.16.,2023.03.05.,576.0,41.5,4,0,3.5,2.5,0.0,1,0,0,0
Weisssee - Uttendorf,https://sielok.hu/siterep/weisssee/,Salzburg,1482,2600,23.0,1118,8,2022.12.23.,2023.04.23.,617.0,44.0,4,0,6.0,15.0,2.0,2,0,2,0
Wenigzell,https://sielok.hu/siterep/wenigzell/,Stájerország,980,1150,2.0,170,3,,,307.0,28.0,3,0,2.0,0.0,0.0,0,0,0,0
Werfenweng,https://sielok.hu/siterep/werfenweng/,Salzburg,902,1834,29.0,932,9,2022.12.17.,2023.04.10.,602.0,48.0,5,0,13.0,15.0,1.0,2,0,2,0
Weyregg am Attersee - Wachtberglifte,https://sielok.hu/siterep/weyregg-am-attersee-wachtberglifte/,Felső-Ausztria,482,823,4.0,341,3,,,496.0,18.0,3,0,2.0,2.0,0.0,0,0,0,0
Wildkogel Arena - Neukirchen Bramberg,https://sielok.hu/siterep/wildkogel/,Salzburg,820,2150,75.0,1330,20,2022.12.08.,2023.04.16.,668.0,57.5,11,0,35.0,30.0,10.0,4,0,5,0
Winklmoosalm - Steinplatte,https://sielok.hu/siterep/steinplatte/,Tirol,740,1860,42.0,1120,14,2022.12.16.,2023.04.10.,597.0,53.0,3,0,18.0,22.0,2.0,9,0,2,0
Wurzeralm - Spital am Pyhrn,https://sielok.hu/siterep/wurzeralm/,Felső-Ausztria,810,1870,22.5,1060,8,2022.12.08.,2023.03.26.,455.0,52.0,5,0,10.5,10.0,2.0,2,0,0,1
Übersaxen - Gröllerkopf,https://sielok.hu/siterep/uebersaxen-groellerkopf/,Vorarlberg,1000,1200,3.0,200,2,,,883.0,24.0,2,0,1.5,1.5,0.0,0,0,0,0
Zahmer Kaiser - Durchholzen,https://sielok.hu/siterep/zahmerkaiser/,Tirol,600,1200,13.0,600,3,,,626.0,28.0,2,0,11.0,2.0,0.0,1,0,0,0
Zauchensee,https://sielok.hu/siterep/zauchensee/,Salzburg,1000,2176,45.0,1176,16,2022.12.03.,2023.04.16.,528.0,68.0,6,0,23.5,17.2,4.3,6,0,3,1
Zell am See - Schmittenhöhe,https://sielok.hu/siterep/zellamsee/,Salzburg,760,2000,77.0,1240,28,2022.12.08.,2023.04.10.,625.0,66.0,9,0,30.0,28.0,19.0,10,2,7,0
Zillertal Arena,https://sielok.hu/siterep/gerlos/,Tirol,580,2500,150.0,1920,52,2022.12.08.,2023.04.16.,710.0,65.0,18,0,50.0,88.0,12.0,20,1,13,0
Zlaim,https://sielok.hu/siterep/zlaim/,Stájerország,760,900,1.0,140,2,,,,,2,0,1.0,0.0,0.0,0,0,0,0
Ötz - Hochötz,https://sielok.hu/siterep/hochotz/,Tirol,1410,2272,37.5,862,13,2022.12.08.,2023.04.15.,779.0,48.0,5,0,12.0,21.5,4.0,6,0,2,0
