licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,47.470222,19.024826,,,
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,47.492012,19.079035,99,Mátyás király tér,Blaha Lujza tér M
V1442,Ganz csuklós,TRAM,47.47028,19.024973,,,
V1441,Ganz csuklós,TRAM,47.470177,19.0253,2,Jászai Mari tér,Közvágóhíd H
MPW613,VanHool A330 CNG típusú szóló autóbusz,BUS,47.446434,19.191282,284E,"Pestszentimre, Benjámin u.",Kőbánya-Kispest M
V4064,Tátra T5C5K,TRAM,47.498104,19.029432,56A,Móricz Zs. körtér M,Hűvösvölgy
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.46576,19.12499,123A,Szentlőrinci úti ltp.,Határ út M
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.389267,19.161938,54,"Péterimajor, Víztorony tér",Boráros tér H
V2209,CAF 5 modulos szerelvény,TRAM,47.522343,19.10279,3,Mexikói út M,Gubacsi út / Határ út
V1448,Ganz csuklós,TRAM,47.469128,19.024878,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V2208,CAF 5 modulos szerelvény,TRAM,47.443874,19.09626,3,Mexikói út M,Gubacsi út / Határ út
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,47.48341,19.126513,95,Felsőcsatári köz,Puskás Ferenc Stadion M
MPW621,VanHool A330 CNG típusú szóló autóbusz,BUS,47.4282,19.201887,282E,Alacskai úti lakótelep,Kőbánya-Kispest M
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,47.495995,19.071613,99,Mátyás király tér,Blaha Lujza tér M
V2205,CAF 5 modulos szerelvény,TRAM,47.51919,19.091314,3,Mexikói út M,Gubacsi út / Határ út
V1444,Ganz csuklós,TRAM,47.47071,19.092415,2,Jászai Mari tér,Közvágóhíd H
V4067,Tátra T5C5K,TRAM,47.462654,19.042208,17,Savoya Park,Bécsi út / Vörösvári út
V4339,Tátra T5C5,TRAM,47.490334,19.089903,,,
V2204,CAF 5 modulos szerelvény,TRAM,47.455605,19.11438,3,Mexikói út M,Gubacsi út / Határ út
LOV875,VanHool AG318 csuklós autóbusz,BUS,47.452847,19.155706,,,
V2206,CAF 5 modulos szerelvény,TRAM,47.47528,19.117945,3,Mexikói út M,Gubacsi út / Határ út
V1445,Ganz csuklós,TRAM,47.48443,19.052994,47,Városház tér,Deák Ferenc tér M
MPW616,VanHool A330 CNG típusú szóló autóbusz,BUS,47.4369,19.222696,166,Ferihegy vasútállomás,Gubacsi út / Határ út
923,MXA,SUBURBAN_RAILWAY,47.5093,19.180738,H9,Csömör,Örs vezér tere
V2212,CAF 5 modulos szerelvény,TRAM,47.51968,19.097368,3,Mexikói út M,Gubacsi út / Határ út
LOV881,VanHool AG318 csuklós autóbusz,BUS,47.427025,19.162539,,,
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,47.48597,19.131044,185,Újhegy,Kőbánya alsó vasútáll.
V1450,Ganz csuklós,TRAM,47.48358,19.05353,47,Városház tér,Deák Ferenc tér M
V2211,CAF 5 modulos szerelvény,TRAM,47.485264,19.131763,3,Mexikói út M,Gubacsi út / Határ út
V4073,Tátra T5C5K,TRAM,47.508633,19.018826,56A,Móricz Zs. körtér M,Hűvösvölgy
V4076,Tátra T5C5K,TRAM,47.435905,19.042437,17,Savoya Park,Bécsi út / Vörösvári út
MPW624,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427944,19.15835,,,
LRV480,Renault ND Master mozgáskorl. száll.,BUS,47.46727,19.00478,,,
MPW623,VanHool A330 CNG típusú szóló autóbusz,BUS,47.485878,19.131617,217,Szarvas csárda tér,Kőbánya alsó vasútáll.
V2210,CAF 5 modulos szerelvény,TRAM,47.44699,19.10159,3,Mexikói út M,Gubacsi út / Határ út
MPW630,VanHool A330 CNG típusú szóló autóbusz,BUS,47.49572,19.072947,99,Mátyás király tér,Blaha Lujza tér M
V2219,CAF 5 modulos szerelvény,TRAM,47.49439,19.140911,3,Mexikói út M,Gubacsi út / Határ út
MPW629,VanHool A330 CNG típusú szóló autóbusz,BUS,47.483685,19.127563,185,Újhegy,Kőbánya alsó vasútáll.
BPO582,Ikarus 435-ös típusú autóbusz,BUS,47.479595,19.256392,161,Rákoscsaba,Örs vezér tere M H
BPO234,Ikarus 412-es típusú autóbusz,BUS,47.416794,19.251688,236,Havanna utcai lakótelep,Market Central Ferihegy
V2215,CAF 5 modulos szerelvény,TRAM,47.511806,19.125214,3,Mexikói út M,Gubacsi út / Határ út
LRV482,Renault ND Master mozgáskorl. száll.,BUS,47.56815,19.027775,,,
MPW625,VanHool A330 CNG típusú szóló autóbusz,BUS,47.4283,19.220413,266,"Ganztelep, Mednyánszky u.",Pestszentimre vasútáll.
V4077,Tátra T5C5K,TRAM,47.565037,19.094042,14,"Káp.megyer, Megyeri út",Lehel tér M
V2218,CAF 5 modulos szerelvény,TRAM,47.46813,19.107708,3,Mexikói út M,Gubacsi út / Határ út
MPW628,VanHool A330 CNG típusú szóló autóbusz,BUS,47.404434,19.185848,266,"Ganztelep, Mednyánszky u.",Pestszentimre vasútáll.
V4313,Tátra T5C5K,TRAM,47.46867,19.078886,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4043,Tátra T5C5K,TRAM,47.53861,19.031778,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
MXJ003,MB515 minibusz,BUS,47.491085,19.282825,298,Zimonyi utca,Rákoscsaba vasútállomás
LOV857,VanHool AG318 csuklós autóbusz,BUS,47.41709,19.131086,123A,Szentlőrinci úti ltp.,Határ út M
MXJ001,MB515 minibusz,BUS,47.50025,19.236488,,,
V2101,CAF 9 modulos szerelvény,TRAM,47.500935,19.108068,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
MXJ002,MB515 minibusz,BUS,47.492004,19.242527,,,
LOV853,VanHool AG318 csuklós autóbusz,BUS,47.479626,19.067278,54,"Péterimajor, Víztorony tér",Boráros tér H
LOV855,VanHool AG318 csuklós autóbusz,BUS,47.412388,19.161346,123,"Soroksár, IKEA áruház",Határ út M
V4318,Tátra T5C5K,TRAM,47.47544,19.046852,61,Móricz Zs. körtér M,Hűvösvölgy
V4046,Tátra T5C5K,TRAM,47.507137,19.025478,,,
LZZ332,Ikarus 405-ös alacsonypadlós autóbusz,BUS,47.477818,19.045944,27,Citadella - Sánc utca,Móricz Zs. körtér M
925,MXA,SUBURBAN_RAILWAY,47.525547,19.22113,H9,Csömör,Örs vezér tere
V2102,CAF 9 modulos szerelvény,TRAM,47.51138,19.099298,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4052,Tátra T5C5K,TRAM,47.46772,19.050009,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4051,Tátra T5C5K,TRAM,47.58569,19.117464,14,"Káp.megyer, Megyeri út",Lehel tér M
LOV861,VanHool AG318 csuklós autóbusz,BUS,47.416866,19.130514,123A,Szentlőrinci úti ltp.,Határ út M
V4326,Tátra T5C5K,TRAM,47.49032,19.047007,56A,Móricz Zs. körtér M,Hűvösvölgy
V2104,CAF 9 modulos szerelvény,TRAM,47.46368,19.032608,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2103,CAF 9 modulos szerelvény,TRAM,47.4958,19.109135,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV858,VanHool AG318 csuklós autóbusz,BUS,47.43881,19.138575,54,"Péterimajor, Víztorony tér",Boráros tér H
V2110,CAF 9 modulos szerelvény,TRAM,47.46335,19.02313,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2109,CAF 9 modulos szerelvény,TRAM,47.43851,19.036266,,,
BPO851,Ikarus 280-as típusú autóbusz,BUS,47.567093,19.032871,,,
V1438,Ganz csuklós,TRAM,47.467793,19.075779,2,Jászai Mari tér,Közvágóhíd H
V1433,Ganz csuklós,TRAM,47.47776,19.047647,49,Kelenföld vasútállomás M,Deák Ferenc tér M
LOV864,VanHool AG318 csuklós autóbusz,BUS,47.46318,19.148216,136E,Havanna utcai lakótelep,Kőbánya-Kispest M
V2105,CAF 9 modulos szerelvény,TRAM,47.46702,19.049704,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
