licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
V1440,Ganz csuklós,TRAM,47.476604,19.044058,49,Kelenföld vasútállomás M,Deák Ferenc tér M
LOV871,VanHool AG318 csuklós autóbusz,BUS,47.42827,19.156431,,,
LOV872,VanHool AG318 csuklós autóbusz,BUS,47.42818,19.156504,,,
MPW614,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42779,19.157352,,,
V1441,Ganz csuklós,TRAM,47.49736,19.055511,47,Városház tér,Deák Ferenc tér M
BPO220,Ikarus 412-es típusú autóbusz,BUS,47.42694,19.15946,,,
LOV868,VanHool AG318 csuklós autóbusz,BUS,47.427574,19.15951,,,
LOV869,VanHool AG318 csuklós autóbusz,BUS,47.499725,19.0939,,,
MPW618,VanHool A330 CNG típusú szóló autóbusz,BUS,47.42604,19.158556,,,
V2208,CAF 5 modulos szerelvény,TRAM,47.46559,19.122852,3,Mexikói út M,Gubacsi út / Határ út
MPW621,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427975,19.158648,,,
MPW620,VanHool A330 CNG típusú szóló autóbusz,BUS,47.403465,19.185415,166,Ferihegy vasútállomás,Gubacsi út / Határ út
LOV874,VanHool AG318 csuklós autóbusz,BUS,47.42919,19.156597,,,
V2205,CAF 5 modulos szerelvény,TRAM,47.519714,19.111454,3,Mexikói út M,Gubacsi út / Határ út
LOV875,VanHool AG318 csuklós autóbusz,BUS,47.464493,19.126348,123A,Szentlőrinci úti ltp.,Határ út M
V2207,CAF 5 modulos szerelvény,TRAM,47.44378,19.096733,3,Mexikói út M,Gubacsi út / Határ út
LOV881,VanHool AG318 csuklós autóbusz,BUS,47.450874,19.160337,136E,Havanna utcai lakótelep,Kőbánya-Kispest M
MPW622,VanHool A330 CNG típusú szóló autóbusz,BUS,47.479298,19.142063,95,Felsőcsatári köz,Puskás Ferenc Stadion M
V2211,CAF 5 modulos szerelvény,TRAM,47.5149,19.119911,3,Mexikói út M,Gubacsi út / Határ út
V2214,CAF 5 modulos szerelvény,TRAM,47.4903,19.137207,3,Mexikói út M,Gubacsi út / Határ út
MPW624,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426308,19.158537,,,
MPW623,VanHool A330 CNG típusú szóló autóbusz,BUS,47.427277,19.159222,,,
LOV878,VanHool AG318 csuklós autóbusz,BUS,47.50733,19.104065,,,
BPO231,Ikarus 412-es típusú autóbusz,BUS,47.427307,19.158138,,,
MPW629,VanHool A330 CNG típusú szóló autóbusz,BUS,47.44704,19.1914,217,Szarvas csárda tér,Kőbánya alsó vasútáll.
V2219,CAF 5 modulos szerelvény,TRAM,47.455647,19.114351,3,Mexikói út M,Gubacsi út / Határ út
MPW626,VanHool A330 CNG típusú szóló autóbusz,BUS,47.426544,19.15847,,,
V2218,CAF 5 modulos szerelvény,TRAM,47.51912,19.091143,3,Mexikói út M,Gubacsi út / Határ út
LOV851,VanHool AG318 csuklós autóbusz,BUS,47.453064,19.087732,23,Boráros tér H,"P.erzsébet, Ady Endre tér"
LOV857,VanHool AG318 csuklós autóbusz,BUS,47.42864,19.156012,950,"Rákospalota, Kossuth utca",Pestszentimre vasútáll.
V2101,CAF 9 modulos szerelvény,TRAM,47.464596,19.025827,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV853,VanHool AG318 csuklós autóbusz,BUS,47.427975,19.158503,,,
V2102,CAF 9 modulos szerelvény,TRAM,47.548763,19.029541,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV860,VanHool AG318 csuklós autóbusz,BUS,47.42824,19.156425,,,
V4323,Tátra T5C5K,TRAM,47.462704,19.04022,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV861,VanHool AG318 csuklós autóbusz,BUS,47.428753,19.155882,,,
V4326,Tátra T5C5K,TRAM,47.509716,19.012619,56A,Móricz Zs. körtér M,Hűvösvölgy
V2103,CAF 9 modulos szerelvény,TRAM,47.505093,19.105791,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
LOV858,VanHool AG318 csuklós autóbusz,BUS,47.479507,19.067478,54,"Péterimajor, Víztorony tér",Boráros tér H
BPO561,Ikarus 435-ös típusú autóbusz,BUS,47.500286,19.236752,,,
V2110,CAF 9 modulos szerelvény,TRAM,47.478397,19.10078,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V2109,CAF 9 modulos szerelvény,TRAM,47.479794,19.101965,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V1433,Ganz csuklós,TRAM,47.496086,19.058043,49,Kelenföld vasútállomás M,Deák Ferenc tér M
V4056,Tátra T5C5K,TRAM,47.494785,19.023691,61,Móricz Zs. körtér M,Hűvösvölgy
V1434,Ganz csuklós,TRAM,47.425804,19.039846,47,Városház tér,Deák Ferenc tér M
V2107,CAF 9 modulos szerelvény,TRAM,47.53198,19.06778,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
BPO811,Ikarus 280-as típusú autóbusz,BUS,47.426918,19.158522,,,
MRZ400,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.454613,19.019068,,,
MRZ245,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.43179,19.04379,,,
MRZ249,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.46359,19.022564,,,
V4309,Tátra T5C5K,TRAM,47.552677,19.0927,14,"Káp.megyer, Megyeri út",Lehel tér M
MRZ250,"MAN A21 szóló (Volán, helyi, 3 ajtós)",BUS,47.483368,19.029423,,,
V4271,Tátra T5C5K,TRAM,47.548233,19.028944,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
V4276,Tátra T5C5K,TRAM,47.565903,19.111683,14,"Káp.megyer, Megyeri út",Lehel tér M
V4279,Tátra T5C5K,TRAM,47.47787,19.047571,56A,Móricz Zs. körtér M,Hűvösvölgy
V4274,Tátra T5C5K,TRAM,47.480545,19.05181,56A,Móricz Zs. körtér M,Hűvösvölgy
BPO801,Ikarus 280-as típusú autóbusz,BUS,47.42888,19.15652,,,
V4288,Tátra T5C5,TRAM,47.490593,19.089346,,,
BPO805,Ikarus 280-as típusú autóbusz,BUS,47.428143,19.159191,,,
V4017,Tátra T5C5K,TRAM,47.441177,18.979511,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
V4284,Tátra T5C5K,TRAM,47.48424,19.053516,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
V4286,Tátra T5C5K,TRAM,47.510815,19.007185,56A,Móricz Zs. körtér M,Hűvösvölgy
V4254,Tátra T5C5K,TRAM,47.4671,19.04982,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
V4251,Tátra T5C5K,TRAM,47.505775,19.039425,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
V4250,Tátra T5C5K,TRAM,47.442234,19.018534,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
NCA437,MERCEDES Conecto csuklós,BUS,47.536648,19.134323,8E,"Újpalota, Nyírpalota út",Kelenföld vasútállomás M
NCA438,MERCEDES Conecto csuklós,BUS,47.465157,19.309134,97E,Rákoskert sugárút,Örs vezér tere M H
